global_id,name,device,technique,operator,sample_global_id,sample_name,description,spot_global_id,spot_attachment_file_global_id,spot_x_image,spot_y_image,Sr (ng/g),Sr_error,Li (ng/g),Li_error,SiO2 (ug/g),SiO2_error,d18O (ug/g),d18O_error,d17O (ug/g),d17O_error,Cl (ug/g),Cl_error,F (ug/g),F_error,S (cg/g),S_error,C (ug/g),C_error,H2O (ug/g),H2O_error,P2O5 (ug/g),P2O5_error,K2O (ug/g),K2O_error,Na2O (ug/g),Na2O_error,CaO (ug/g),CaO_error,MgO (cg/g),MgO_error,NiO (ug/g),NiO_error,MnO (ug/g),MnO_error,FeO (cg/g),FeO_error,Cr2O3 (ug/g),Cr2O3_error,Al2O3 (ug/g),Al2O3_error,TiO2 (ug/g),TiO2_error,total (cg/g),total_error,SO3 (ug/g),SO3_error
20131030170714-222323,ys_ol_CBK1a@115,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170718-808742,20131030170642-504623,577.0,-288.0,5186.91015981126,124.36872037584902,2349.56355627547,26.906090773020097,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170719-247094,ys_ol_CBK1a@116,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170723-760859,20131030170642-504623,679.0,-277.0,133.973675943825,13.8115866773706,3724.16229573989,34.38384241077969,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170724-226522,ys_ol_CBK1a@117,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170728-215136,20131030170642-504623,825.0,-276.0,229.07957252385404,16.178412815741297,2089.68923909426,21.2569874355666,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170729-734248,ys_ol_CBK1a@118,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170733-385732,20131030170642-504623,911.0,-323.0,506.171754150629,33.841290502995896,2262.97442828677,20.159258317852895,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170734-304724,ys_ol_CBK1a@119,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170738-569807,20131030170642-504623,836.0,-565.0,114.292366336544,11.1656977364813,3038.23021555945,29.149328727266,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170739-521559,ys_ol_CBK1a@120,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170743-890740,20131030170642-504623,932.0,-589.0,96.82604308194868,12.1172257776356,1945.01441468229,23.249876942382695,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170744-656488,ys_ol_CBK1a@71,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170750-058662,20131030170749-346152,130.0,-440.0,748.7783864192361,35.43764465381209,502.765553898202,8.25016234266813,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170751-973931,ys_ol_CBK1a@72,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170756-897341,20131030170749-346152,178.0,-385.0,115.500874951557,12.9168238431149,1695.24674614884,24.291767010536297,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170757-473522,ys_ol_CBK1a@73,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170801-698896,20131030170749-346152,301.0,-364.0,115.30266283763102,18.8290331555736,1499.34613700515,27.928629958787496,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131030170802-894709,ys_ol_CBK1a@74,Cameca ims 5f,,,20130528105407-768847,TS CBK-1-a,,20131030170806-592686,20131030170749-346152,448.0,-382.0,118.72211780280102,18.0100678200282,670.205740689018,7.803149884946921,377000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
