global_id,name,device,technique,operator,sample_global_id,sample_name,description,spot_global_id,spot_attachment_file_global_id,spot_x_image,spot_y_image,SiO2 (ug/g),SiO2_error,Li (ng/g),Li_error,Sr (ng/g),Sr_error,d17O (ug/g),d17O_error,d18O (ug/g),d18O_error,TiO2 (ug/g),TiO2_error,Al2O3 (ug/g),Al2O3_error,Cr2O3 (ug/g),Cr2O3_error,FeO (cg/g),FeO_error,MnO (ug/g),MnO_error,NiO (ug/g),NiO_error,MgO (cg/g),MgO_error,CaO (ug/g),CaO_error,Na2O (ug/g),Na2O_error,K2O (ug/g),K2O_error,P2O5 (ug/g),P2O5_error,H2O (ug/g),H2O_error,C (ug/g),C_error,S (cg/g),S_error,F (ug/g),F_error,Cl (ug/g),Cl_error,total (cg/g),total_error,SO3 (ug/g),SO3_error,Y (ng/g),Y_error,Zr (ng/g),Zr_error,Nb (ng/g),Nb_error,Ba (ng/g),Ba_error,La (ng/g),La_error,Ce (ng/g),Ce_error,Pr (ng/g),Pr_error,Nd (ng/g),Nd_error,Sm (ng/g),Sm_error,Eu (ng/g),Eu_error,Gd (ng/g),Gd_error,Dy (ng/g),Dy_error,Er (ng/g),Er_error,Yb (ng/g),Yb_error,Lu (ng/g),Lu_error,Hf (ng/g),Hf_error,nNa (ug/g),nNa_error,nMg (cg/g),nMg_error,nAl (cg/g),nAl_error,nTi (cg/g),nTi_error,nCr (cg/g),nCr_error,nMn (ug/g),nMn_error,nFe (cg/g),nFe_error,nP (cg/g),nP_error,nCl (cg/g),nCl_error,nCa (cg/g),nCa_error
20131126174136-341155,CBK-1-i/O-3iso/ys_xxx_cbk1i@1701@1722/@1706,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174142-605946,20131126174050-285121,356.5654296875,-192.138671875,538900.0,,,,,,,,,,,,,,,,15.1,,4900.0,,,,27.73,,12000.0,,,,,,,,,,,,,,,,,,99.61,,12000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131126174149-331322,CBK-1-i/O-3iso/ys_xxx_cbk1i@1701@1722/@1707,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174156-821271,20131126174050-285121,580.9833984375,-440.3818359375,553200.0,,,,,,,,,,,,9600.0,,2800.0,,11.49,,4000.0,,,,23.75,,77000.0,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131126174203-943058,CBK-1-i/O-3iso/ys_xxx_cbk1i@1701@1722/@1708,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174208-173319,20131126174050-285121,581.751953125,-475.7353515625,549000.0,,,,,,,,,,,,,,,,16.13,,4600.0,,,,27.71,,7000.0,,,,,,,,,,,,,,,,,,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131126174221-075600,CBK-1-i/O-3iso/ys_xxx_cbk1i@1701@1722/@1722,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174227-409702,20131126174050-285121,644.0048828125,-258.234375,3000.0,,,,,,,,,,22500.0,,62000.0,,556400.0,,32.54,,7000.0,,,,2.09,,,,,,,,,,,,,,,,,,,,99.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130630111523-615075,LF5075,MAT253,,,20130612155108-394063,OK-10VM,,,,,,,,,,,,3787.0,20.0,4916.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130630111412-533383,LF5073,MAT253,,,20130612155108-394063,OK-10VM,,,,,,,,,,,,3746.0,17.0,4819.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131217183212-552646,OK-10VM-d,PW2400,XRF,HK,20130809083746-885416,powder OK-10VM-d,,,,,,403000.0,,,,,,,,,,700.0,,18100.0,,6200.0,,25.1,,3100.0,,11500.0,,25.7,,18600.0,,9800.0,,1400.0,,2500.0,,7300.0,,400.0,,1.78,,25.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130821152852-741344,misip_mer_ok11ma@1,,,,20130704180915-127898,TS OK-11-m-a,,20130821152910-862693,20130822111940-745497,366.143019727752,-362.59891533849793,,,1540.48495405756,51.9443372594364,39080.7718804451,467.384008792758,,,,,,,,,,,,,,,,,,,462500.0,0.0,,,,,,,,,,,,,,,,,,,,,371302.616832119,2300.97273584127,2504.79012436874,1058.32098377497,53.9103528034513,6.908099483001051,1331.88882706587,328.994660525657,73810.061790564,358.725440399708,185287.306979531,1110.60097278206,27829.781202164,164.99638831093,150257.685292361,701.195476017196,49268.6675361351,333.643072054505,1781.41398847382,56.69769906893829,58664.7098189287,630.620501098671,69892.0311482948,1078.64612956294,35754.301802935,760.084355224891,33503.218184171,293.912145060421,4098.806973724,81.94029458115538,3041.10683263771,566.6310700171609,,,,,,,,,,,,,,,,,,,,
20130821153943-716675,misip_mer_ok11ma@2,,,,20130704180915-127898,TS OK-11-m-a,,20130821154000-064775,20130822111940-745497,382.120945171397,-387.18033909795093,,,1264.00690404447,28.2286019121014,41343.10521036,455.5452308916729,,,,,,,,,,,,,,,,,,,462500.0,0.0,,,,,,,,,,,,,,,,,,,,,383246.830192257,2183.23646310342,1877.71859806223,506.844845088764,56.8548567961163,9.593867338279464,1443.06476655328,185.553783014694,76388.0755135168,467.89236828487,189583.313028696,1301.88997601196,28393.4001707982,180.611367197314,153566.161632912,1240.48541227739,49273.4629910055,416.539662331671,1840.9073202989,33.7305285626164,61892.5949263496,649.964405375974,71704.2996834166,766.7853410803729,35413.7710330863,754.5369165183669,34668.4758019903,774.3391507679789,4377.988059272,125.277559180894,3479.46309167575,338.635865387345,,,,,,,,,,,,,,,,,,,,
20130821154712-314503,misip_mer_ok11ma@3,,,,20130704180915-127898,TS OK-11-m-a,,20130821154730-681326,20130822111940-745497,397.484335021055,-249.52436604501094,,,1628.90269923477,23.595917116202397,52611.7977441693,1228.0139230498,,,,,,,,,,,,,,,,,,,462500.0,0.0,,,,,,,,,,,,,,,,,,,,,363740.979599575,1827.28631111247,4263.41009446826,1173.68423739068,55.5650277368452,7.11587211289617,2179.83436567026,243.226842247823,73520.9370678506,311.888072040365,183584.168263838,1303.98478543133,27452.40677549,168.182912377953,149210.663573104,1531.54579855981,47692.8784792972,482.496469459167,1656.59480111959,74.4025482495752,57478.8908578738,562.9036086403,71438.8155882999,1384.41075487204,35682.7830649572,571.9772775099829,34396.3333837865,246.353115295859,4277.66613011387,178.058092251802,2187.5874476076,545.513812373664,,,,,,,,,,,,,,,,,,,,
20130821152533-648164,misip_ap_ok11ma@4,,,,20130704180915-127898,TS OK-11-m-a,,20130821152551-222000,20130822111940-745497,237.09054499062,-269.18950505257294,,,273.02568064086,11.3740182893653,106895.169933159,807.467244679767,,,,,,,,,,,,,,,,,,,514300.0,0.0,,,,,,,,,,,,,,,,,,,,,18101.4944548779,141.014688754246,377.801089565593,74.4683523855138,99.243909549685,3.48697842047304,2313.58414964159,221.329503340233,14320.5262906869,96.2002418968623,27263.4127596224,352.165595388959,3176.42073009512,53.0929698802733,14498.6097477697,270.367985315029,3777.80635761917,112.899070369183,1038.44888098754,41.4991511516462,3693.79022363055,140.69928616464,3795.85839870822,228.959883801056,1667.51519488048,114.156456566088,1227.9278722887,124.775745706691,226.241624197452,35.0734851592578,13.5295337918507,84.01046826732279,,,,,,,,,,,,,,,,,,,,
20130821144203-789659,misip_cpx_ok11ma@14,,,,20130704180915-127898,TS OK-11-m-a,,20130821144222-144763,20130822111940-745497,372.145,-59.21468193384242,530000.0,0.0,605.237311615328,11.8916447513815,8622.44989617142,80.8127768404833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9783.57243650921,73.6750016854471,69640.3794496585,330.478156519268,910.6707900418588,45.3815290621372,1580.78718333103,103.261683699353,285.91695638575,7.85868996837042,1152.48246952771,21.7257055157686,196.765316834922,13.902260158987698,1516.22679836909,149.376203067685,666.3890729724981,50.2407517056133,78.5467640583381,6.81062848528108,1188.66863986015,33.1621928535606,1744.04577074839,114.969084875686,1094.76100456448,124.723226815191,1105.06479604811,81.4435892750407,249.347837137269,28.0621783165672,1956.16496399795,190.978608310573,,,,,,,,,,,,,,,,,,,,
